,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
EPL,2014,1,Chelsea,38,26,9,3,73,32,87,68.64332000000002,-4.356679999999983,64.74040199999999,31.524344099999997,-0.47565590000000313,29.240835099999998,35.4995669,10.942027381600568,13.419519874764763,407,171,75.31719999999999,-11.682800000000015
EPL,2014,2,Manchester City,38,24,7,7,83,38,79,75.81544099999999,-7.184559000000007,69.60909099999999,40.499403,2.499403000000001,37.454762,32.154329,7.982490329660707,15.076978650180658,575,144,73.0982,-5.901799999999994
EPL,2014,3,Arsenal,38,22,9,7,71,36,75,69.80259099999999,-1.1974090000000075,64.47440399999999,35.718825,-0.2811749999999975,33.435351999999995,31.039052,8.660595632132885,13.254168602983583,398,171,75.17399999999998,0.17399999999997817
EPL,2014,4,Manchester United,38,20,10,8,62,37,70,54.20686,-7.793140000000001,50.401013,39.84234699999999,2.8423469999999895,36.79770199999999,13.603311,7.648714692806585,15.521976787390887,267,194,63.0327,-6.967300000000002
EPL,2014,5,Tottenham,38,19,7,12,58,53,64,52.385284,-5.614716000000001,48.427014,57.044147999999986,4.044147999999986,51.59893799999999,-3.171923999999999,8.000236627612955,11.300693754755406,210,232,48.936099999999996,-15.063900000000004
EPL,2014,6,Liverpool,38,18,8,12,52,48,62,51.69722599999999,-0.30277400000000654,47.13021,38.249721,-9.750278999999999,35.82939999999999,11.30081,9.913851388098657,12.121980998480746,306,201,61.167300000000004,-0.8326999999999956
EPL,2014,7,Southampton,38,18,6,14,54,33,60,54.965667,0.9656670000000034,52.682172,39.11352,6.113520000000001,37.591178,15.090993999999998,9.259539710213556,14.879479078026922,270,183,62.816599999999994,2.816599999999994
EPL,2014,8,Swansea,38,16,8,14,46,49,56,40.901235000000014,-5.098764999999986,39.378900000000016,55.94297000000001,6.94297000000001,54.42063400000001,-15.041733999999998,12.826740899371346,11.455201408936118,156,310,43.316700000000004,-12.683299999999996
EPL,2014,9,Stoke,38,15,9,14,48,45,54,46.260597000000004,-1.7394029999999958,43.977084,47.030662,2.0306619999999995,43.224882,0.7522019999999996,10.40575295380508,10.601439594262885,195,239,51.971500000000006,-2.028499999999994
EPL,2014,10,Crystal Palace,38,13,9,16,47,51,48,44.756683,-2.2433169999999976,40.05290899999999,45.48436500000001,-5.515634999999989,40.82030400000001,-0.7673949999999995,11.577050645893948,6.582147901642835,180,258,50.55699999999999,2.556999999999988
EPL,2014,11,West Ham,38,12,11,15,44,47,47,46.687234,2.6872339999999966,45.164894,57.402133,10.402133,53.443827,-8.278933,12.042642603421287,8.433845139416723,217,316,47.2178,0.21779999999999688
EPL,2014,12,Everton,38,12,11,15,48,50,47,44.88818499999999,-3.111815000000007,39.560085,46.182073,-3.8179269999999974,43.1374,-3.5773150000000005,10.43277394405528,11.682677279666661,259,245,50.91050000000001,3.910500000000013
EPL,2014,13,West Bromwich Albion,38,11,11,16,38,51,44,38.627729099999996,0.6277290999999963,34.8219141,53.748535999999994,2.7485359999999943,48.42039600000001,-13.598481900000003,13.545803277440628,9.869703280033864,161,283,44.7359,0.7359000000000009
EPL,2014,14,Leicester,38,11,8,19,46,55,41,48.206401,2.2064009999999996,45.161721,56.392115999999994,1.3921159999999944,53.347435,-8.185713999999999,10.22930804711766,8.019074496473403,191,287,44.63999999999999,3.6399999999999935
EPL,2014,15,Newcastle United,38,10,9,19,40,63,39,40.221385999999995,0.22138599999999542,39.460251,51.014275,-11.985725000000002,47.96967500000001,-8.509424,10.422385092455874,8.840573949187506,175,239,45.6305,6.630499999999998
EPL,2014,16,Aston Villa,38,10,8,20,31,57,38,33.102671,2.102671000000001,32.341501,49.706255999999996,-7.293744000000004,46.661578999999996,-14.320078000000004,16.38689216801628,11.065618930856424,184,237,40.8917,2.8917
EPL,2014,17,Sunderland,38,7,17,14,31,53,38,37.446152999999995,6.446152999999995,34.401475999999995,51.464371,-1.5356290000000001,48.41970500000001,-14.018228999999998,11.42130085028365,8.129491666829585,153,313,44.182100000000005,6.1821000000000055
EPL,2014,18,Hull,38,8,11,19,33,51,35,32.791033,-0.20896700000000124,32.029898,46.99295699999999,-4.00704300000001,44.69685,-12.666952000000002,14.345146300011589,10.02113135209263,139,261,41.3213,6.321300000000001
EPL,2014,19,Burnley,38,7,12,19,28,53,33,39.372649,11.372649000000003,37.08914000000001,57.88885599999999,4.88885599999999,54.083012999999994,-16.993873,11.460925785093936,9.979095624616527,218,258,39.795899999999996,6.795899999999996
EPL,2014,20,Queens Park Rangers,38,8,6,24,42,73,30,45.726091000000004,3.726091000000004,41.907666000000006,65.262558,-7.7374420000000015,62.217878000000006,-20.310212000000003,10.341797302694657,7.591177261189004,179,298,40.2773,10.277299999999997
